time_ms,dist_cm,error_cm,v_base,pwm_L,pwm_R,drift,rms_error,iae,overshoot_pct
73660.0,25.32,0.32,4.1,4.1,4.1,0.0,0.22,11.671,1.46
73670.0,25.32,0.32,4.1,4.1,4.1,0.0,0.22,11.674,1.46
73681.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.678,1.46
73690.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.681,1.46
73700.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.684,1.46
73711.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.688,1.46
73720.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.691,1.46
73730.0,25.33,0.33,4.3,4.3,4.3,0.0,0.22,11.694,1.46
73741.0,25.34,0.34,4.4,4.4,4.4,0.0,0.22,11.698,1.46
73750.0,25.34,0.34,4.4,4.4,4.4,0.0,0.22,11.701,1.46
73760.0,25.34,0.34,4.4,4.4,4.4,0.0,0.22,11.704,1.46
73771.0,25.35,0.35,4.5,4.5,4.5,0.0,0.22,11.708,1.46
73780.0,25.35,0.35,4.5,4.5,4.5,0.0,0.22,11.711,1.46
73790.0,25.35,0.35,4.5,4.5,4.5,0.0,0.22,11.715,1.46
73801.0,25.35,0.35,4.6,4.6,4.6,0.0,0.22,11.718,1.46
73810.0,25.35,0.35,4.6,4.6,4.6,0.0,0.22,11.722,1.46
73820.0,25.35,0.35,4.6,4.6,4.6,0.0,0.22,11.725,1.46
73831.0,25.36,0.36,4.6,4.6,4.6,0.0,0.22,11.729,1.46
73840.0,25.36,0.36,4.6,4.6,4.6,0.0,0.22,11.732,1.46
73850.0,25.36,0.36,4.6,4.6,4.6,0.0,0.22,11.736,1.46
73861.0,25.36,0.36,4.7,4.7,4.7,0.0,0.22,11.74,1.46
73870.0,25.36,0.36,4.7,4.7,4.7,0.0,0.22,11.743,1.46
73880.0,25.36,0.36,4.7,4.7,4.7,0.0,0.22,11.747,1.46
73891.0,25.24,0.24,3.1,3.1,3.1,0.0,0.22,11.749,1.46
73900.0,25.24,0.24,3.1,3.1,3.1,0.0,0.22,11.752,1.46
73910.0,25.24,0.24,3.1,3.1,3.1,0.0,0.22,11.754,1.46
73921.0,25.28,0.28,3.6,3.6,3.6,0.0,0.22,11.757,1.46
73930.0,25.28,0.28,3.6,3.6,3.6,0.0,0.22,11.759,1.46
73940.0,25.28,0.28,3.6,3.6,3.6,0.0,0.22,11.762,1.46
73951.0,25.3,0.3,3.9,3.9,3.9,0.0,0.22,11.765,1.46
73960.0,25.3,0.3,3.9,3.9,3.9,0.0,0.22,11.768,1.46
73970.0,25.3,0.3,3.9,3.9,3.9,0.0,0.22,11.771,1.46
