time_ms,dist_cm,error_cm,v_base,pwm_L,pwm_R,drift,rms_error,iae,overshoot_pct
45961.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.056,4.451,3.66
45970.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.056,4.451,3.66
45980.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.056,4.452,3.66
45991.0,24.94,-0.06,-20.3,-23.0,-17.6,9.0,0.056,4.452,3.66
46000.0,24.94,-0.06,-20.3,-23.0,-17.6,9.0,0.057,4.453,3.66
46010.0,24.94,-0.06,-20.3,-23.0,-17.6,9.0,0.057,4.454,3.66
46021.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.454,3.66
46030.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.455,3.66
46040.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.455,3.66
46051.0,24.94,-0.06,-21.3,-24.0,-18.6,9.0,0.057,4.456,3.66
46060.0,24.94,-0.06,-21.3,-24.0,-18.6,9.0,0.057,4.456,3.66
46070.0,24.94,-0.06,-21.3,-24.0,-18.6,9.0,0.057,4.457,3.66
46081.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.057,4.457,3.66
46090.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.057,4.458,3.66
46100.0,24.94,-0.06,-21.2,-23.9,-18.5,9.0,0.057,4.459,3.66
46111.0,24.95,-0.05,-20.3,-23.0,-17.6,9.0,0.057,4.459,3.66
46120.0,24.95,-0.05,-20.3,-23.0,-17.6,9.0,0.057,4.46,3.66
46130.0,24.95,-0.05,-20.3,-23.0,-17.6,9.0,0.057,4.46,3.66
46141.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.461,3.66
46150.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.461,3.66
46160.0,24.95,-0.05,-20.4,-23.1,-17.7,9.0,0.057,4.462,3.66
46171.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.462,3.66
46180.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.463,3.66
46190.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.463,3.66
46201.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.464,3.66
46210.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.464,3.66
46220.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.465,3.66
46231.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.465,3.66
46240.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.466,3.66
46250.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.466,3.66
46261.0,24.95,-0.05,-21.5,-24.2,-18.8,9.0,0.057,4.467,3.66
46270.0,24.95,-0.05,-21.5,-24.2,-18.8,9.0,0.057,4.467,3.66
46280.0,24.95,-0.05,-21.5,-24.2,-18.8,9.0,0.057,4.468,3.66
46291.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.468,3.66
46300.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.469,3.66
46310.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.469,3.66
46321.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.47,3.66
46330.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.47,3.66
46340.0,24.95,-0.05,-20.6,-23.3,-17.9,9.0,0.057,4.471,3.66
46351.0,24.95,-0.05,-21.4,-24.1,-18.7,9.0,0.057,4.471,3.66
46360.0,24.95,-0.05,-21.4,-24.1,-18.7,9.0,0.057,4.472,3.66
46370.0,24.95,-0.05,-21.4,-24.1,-18.7,9.0,0.057,4.472,3.66
46381.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.473,3.66
46390.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.474,3.66
46400.0,24.95,-0.05,-20.5,-23.2,-17.8,9.0,0.057,4.474,3.66
